animal_name hair feathers eggs milk airborne aquatic predator toothed backbone breathes venomous fins legs tail domestic
aardvark 1 0 0 1 0 0 1 1 1 1 0 0 4 0 0
antelope 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0
bass 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0
bear 1 0 0 1 0 0 1 1 1 1 0 0 4 0 0
boar 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0
buffalo 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0
calf 1 0 0 1 0 0 0 1 1 1 0 0 4 1 1
carp 0 0 1 0 0 1 0 1 1 0 0 1 0 1 1
catfish 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0
cavy 1 0 0 1 0 0 0 1 1 1 0 0 4 0 1
cheetah 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0
chicken 0 1 1 0 1 0 0 0 1 1 0 0 2 1 1
chub 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0
clam 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0
crab 0 0 1 0 0 1 1 0 0 0 0 0 4 0 0
crayfish 0 0 1 0 0 1 1 0 0 0 0 0 6 0 0
crow 0 1 1 0 1 0 1 0 1 1 0 0 2 1 0
deer 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0
dogfish 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0
dolphin 0 0 0 1 0 1 1 1 1 1 0 1 0 1 0
dove 0 1 1 0 1 0 0 0 1 1 0 0 2 1 1
duck 0 1 1 0 1 1 0 0 1 1 0 0 2 1 0
elephant 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0
flamingo 0 1 1 0 1 0 0 0 1 1 0 0 2 1 0
flea 0 0 1 0 0 0 0 0 0 1 0 0 6 0 0
frog 0 0 1 0 0 1 1 1 1 1 1 0 4 0 0
fruit_bat 1 0 0 1 1 0 0 1 1 1 0 0 2 1 0
giraffe 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0
gnat 0 0 1 0 1 0 0 0 0 1 0 0 6 0 0
goat 1 0 0 1 0 0 0 1 1 1 0 0 4 1 1
gorilla 1 0 0 1 0 0 0 1 1 1 0 0 2 0 0
gull 0 1 1 0 1 1 1 0 1 1 0 0 2 1 0
haddock 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0
hamster 1 0 0 1 0 0 0 1 1 1 0 0 4 1 1
hare 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0
hawk 0 1 1 0 1 0 1 0 1 1 0 0 2 1 0
herring 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0
honeybee 1 0 1 0 1 0 0 0 0 1 1 0 6 0 1
housefly 1 0 1 0 1 0 0 0 0 1 0 0 6 0 0
human 1 0 0 1 0 0 1 1 1 1 0 0 2 0 1
kiwi 0 1 1 0 0 0 1 0 1 1 0 0 2 1 0
ladybird 0 0 1 0 1 0 1 0 0 1 0 0 6 0 0
lark 0 1 1 0 1 0 0 0 1 1 0 0 2 1 0
leopard 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0
lion 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0
lobster 0 0 1 0 0 1 1 0 0 0 0 0 6 0 0
lynx 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0
mink 1 0 0 1 0 1 1 1 1 1 0 0 4 1 0
mole 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0
mongoose 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0
moth 1 0 1 0 1 0 0 0 0 1 0 0 6 0 0
newt 0 0 1 0 0 1 1 1 1 1 0 0 4 1 0
octopus 0 0 1 0 0 1 1 0 0 0 0 0 8 0 0
